SKU_ID,Cluster,Segment,Avg_Daily_Sales,Sales_Volatility,Sales_CV,Active_Days_Pct
S003_P0020,0,Slow Moving,136.91472868217053,110.87495141196617,0.8098101963247923,0.9941860465116279
S004_P0001,2,Fast Moving,136.8220930232558,108.17331372484013,0.7906128566555785,0.9941860465116279
S004_P0002,1,Medium,133.95903100775195,105.73136672779367,0.7892813051839868,0.9941860465116279
S004_P0003,0,Slow Moving,129.80529069767442,108.13473447919593,0.8330533028928399,0.9961240310077519
S004_P0004,1,Medium,132.3362984496124,106.33844391576956,0.8035470020403234,0.9922480620155039
S004_P0005,2,Fast Moving,140.49346899224807,111.23979637195839,0.7917790716684879,0.9941860465116279
S004_P0006,2,Fast Moving,141.12201550387596,106.61423245581915,0.7554754977130834,0.9941860465116279
S004_P0007,1,Medium,131.83112403100776,106.42141340429144,0.8072555408592651,0.9883720930232558
S004_P0008,0,Slow Moving,130.34377906976744,106.4843922519339,0.8169502590947189,1.0
S004_P0009,0,Slow Moving,135.1470542635659,113.76825402513283,0.8418107684770734,0.9941860465116279
S004_P0010,2,Fast Moving,141.63352713178293,114.04873932027873,0.8052382340360679,0.9941860465116279
S004_P0011,2,Fast Moving,137.29837209302326,104.11806370265167,0.7583342361027163,1.0
S004_P0012,1,Medium,132.80658914728681,104.82732465981273,0.7893231611446946,0.998062015503876
S004_P0013,1,Medium,137.0391472868217,106.67455660850428,0.7784239097824821,0.9941860465116279
S004_P0014,2,Fast Moving,143.31554263565891,112.0406725277998,0.7817760910613306,0.9961240310077519
S004_P0015,0,Slow Moving,136.04662790697674,109.23134058717301,0.8028962881233496,0.9941860465116279
S004_P0016,2,Fast Moving,144.7906976744186,109.41260106825912,0.7556603792163796,0.9961240310077519
S004_P0017,1,Medium,131.4368023255814,105.12127138094034,0.7997856119680157,0.9941860465116279
S004_P0018,1,Medium,126.94965116279069,101.76426046999164,0.8016111231639824,0.9922480620155039
S004_P0019,0,Slow Moving,136.85872093023258,110.45421061346777,0.807067330397611,0.9922480620155039
S004_P0020,1,Medium,132.15556201550385,103.69523309991004,0.7846451838424566,0.9903100775193798
S005_P0001,1,Medium,128.8556007751938,105.3948378216134,0.8179297524380919,0.9922480620155039
S005_P0002,0,Slow Moving,129.89998062015505,104.37162509629874,0.8034767716149829,1.0
S005_P0003,2,Fast Moving,140.82937984496124,109.8589020941107,0.7800850533759617,0.9961240310077519
S005_P0004,1,Medium,132.47947674418606,107.84543517495386,0.8140538420351838,0.9903100775193798
S005_P0005,2,Fast Moving,143.31147286821707,105.94322787871072,0.7392514944258266,1.0
S005_P0006,1,Medium,130.71488372093023,106.7356711330353,0.8165532487897715,0.9903100775193798
S005_P0007,2,Fast Moving,141.36467054263565,113.96016114861132,0.8061430953698572,1.0
S005_P0008,0,Slow Moving,130.7124612403101,108.27707950962848,0.8283607408092303,0.9961240310077519
S005_P0009,2,Fast Moving,138.83333333333334,108.67603648527515,0.7827805185412001,0.9961240310077519
S005_P0010,2,Fast Moving,137.9604457364341,110.51620747630896,0.8010716323483602,0.9941860465116279
S005_P0011,2,Fast Moving,137.05232558139534,107.95377999838814,0.787682891651813,0.9961240310077519
S005_P0012,2,Fast Moving,137.0821511627907,107.49590937452787,0.7841713937298673,0.998062015503876
S005_P0013,2,Fast Moving,138.8088953488372,108.27648806329589,0.7800399246085036,0.9961240310077519
S005_P0014,2,Fast Moving,137.4816472868217,109.90856439062145,0.7994416605069302,0.9961240310077519
S005_P0015,2,Fast Moving,148.89048449612403,116.4749897549065,0.7822862711893177,0.9941860465116279
S005_P0016,2,Fast Moving,138.31232558139536,109.82271792858683,0.794019690774127,0.9961240310077519
S005_P0017,0,Slow Moving,134.96503875968992,109.1320014015202,0.8085945391375631,0.9961240310077519
S005_P0018,0,Slow Moving,136.84009689922482,111.1516302121815,0.8122737750712117,0.9941860465116279
S005_P0019,1,Medium,134.18422480620154,107.3430217066142,0.7999674616145976,0.9941860465116279
S005_P0020,1,Medium,136.9909496124031,108.70190931446894,0.7934969549963434,0.9922480620155039
